id	rate	bna
18091	111280	57575
18093	45814	22637
18095	130280	65208
18097	926335	446372
18099	46962	23335
18101	10262	5176
18103	36211	19482
18105	142404	70830
18107	38172	19378
18109	69403	34338
18111	14057	7100
18113	47546	23826
18115	6033	3015
18117	19725	9783
18119	21192	10705
18121	17107	8098
18123	19414	10407
18125	12687	6373
18127	166570	81958
18129	25567	12708
18131	13047	6623
18133	37650	19967
18135	25596	12487
18137	28612	14064
18139	16991	8414
18141	267246	129457
18143	23783	11685
18145	44441	21899
18147	20856	10557
18149	23117	11395
18151	34267	17379
18153	21111	11540
18155	10500	5443
18157	180952	92366
18159	15573	7776
18161	7299	3681
18163	181305	87661
18165	15860	7785
18167	108268	54952
18169	32358	15894
18171	8367	4159
18173	60995	30171
18175	27930	13867
18177	67866	32924
18179	27796	13709
18181	24388	12107
18183	33330	16667
19001	7426	3667
19003	3892	1942
19005	14060	7169
19007	12669	6302
19009	5869	2858
19011	25803	12888
19013	132496	64707
19015	26401	13244
19017	24539	12103
19019	20998	10426
19021	20507	10516
19023	14966	7429
19025	9914	5065
19027	20629	10066
19029	13590	6661
19031	18375	9013
19033	43481	21284
19035	11853	5921
19037	12244	6149
19039	9280	4686
19041	16537	8133
19043	17806	8896
19045	48365	23788
19047	17252	8688
19049	74892	36706
19051	8742	4295
19053	8249	4115
19055	17507	8731
19057	40208	19611
19059	16967	8490
19061	95906	47401
19063	9917	4887
19065	20589	10338
19067	16050	7958
19069	10489	5243
19071	7106	3523
19073	9174	4481
19075	12407	6095
19077	10740	5318
19079	15297	7467
19081	11092	5575
19083	17393	8629
19085	14467	7170
19087	20080	10254
19089	9494	4702
19091	9674	4721
19093	7071	3561
19095	16344	8097
19097	19572	9733
19099	36726	18711
19101	17318	8981
19103	139436	69350
19105	20560	10674
19107	10291	5179
19109	15280	7629
19111	35369	17767
19113	216640	106827
19115	11271	5751
19117	8731	4376
19119	11723	5951
19121	15644	7796
19123	22396	11202
19125	33248	16527
19127	40962	20730
19129	14862	7507
19131	10762	5339
19133	9088	4518
19135	8002	4140
19137	10465	5035
19139	42913	21412
19141	14092	7048
19143	6211	3118
19145	15660	8072
19147	9208	4618
19149	24853	12269
19151	7127	3548
19153	452369	222477
19155	93213	45947
19157	18705	8987
19159	5061	2474
19161	10101	4967
19163	169994	83437
19165	11992	5886
19167	34509	17404
19169	93586	48551
19171	17479	8637
19173	6213	3136
19175	12575	6015
19177	7432	3799
19179	35315	17413
19181	47542	23326
19183	22017	10847
19185	6384	3092
19187	37295	19193
19189	10614	5222
19191	20884	10386
19193	102530	50448
19195	7563	3728
19197	12936	6446
20001	13081	6441
20003	7896	3921
20005	16633	7977
20007	4770	2396
20009	27399	13307
20011	14812	7324
20013	9880	4808
20015	66092	33192
20017	2722	1348
20019	3520	1804
20021	20952	10337
20023	2682	1352
20025	2145	1055
20027	8421	4145
20029	9339	4650
20031	8458	4246
20033	2010	1020
20035	36079	18184
20037	39304	19733
20039	2905	1455
20041	19516	9716
20043	7859	3992
20045	114967	57490
20047	2991	1528
20049	2683	1339
20051	28993	14452
20053	6410	3630
20055	37133	18884
20057	34714	17906
20059	25753	12675
20061	36787	19166
20063	2735	1385
20065	2593	1258
20067	7816	3957
20069	6065	2985
20071	1224	611
20073	6393	3120
20075	2586	1342
20077	5861	2954
20079	34835	17026
20081	4130	2078
20083	1939	972
20085	13400	6667
20087	18898	9610
20089	3038	1516
20091	566814	277330
20093	3952	2125
20095	7790	3926
20097	2536	1245
20099	21048	10378
20101	1674	817
20103	78227	41806
20105	3154	1566
20107	9528	4659
20109	2793	1406
20111	33462	16262
20113	29252	14511
20115	12290	6087
20117	10005	4998
20119	4383	2258
20121	32688	16097
20123	6296	3208
20125	34184	16851
20127	5750	2855
20129	3106	1648
