CensusId	State	County	TotalPop	Men	Women	White	Black	Native	Asian	Pacific	Employed	Unemployment
2240	Alaska	Southeast Fairbanks Census Area	7029	3909	3120	76.7	1.1	10.5	1.4	0.2	3038	9.4
2261	Alaska	Valdez-Cordova Census Area	9617	5137	4480	70.1	0.0	14.8	3.2	0.4	4415	10.7
2275	Alaska	Wrangell City and Borough	2387	1227	1160	68.5	0.2	17.3	2.5	0.0	1088	7.5
2282	Alaska	Yakutat City and Borough	643	367	276	39.3	1.4	32.2	6.7	1.2	375	7.9
2290	Alaska	Yukon-Koyukuk Census Area	5644	3038	2606	21.8	0.3	69.9	0.5	0.0	2077	18.2
4001	Arizona	Apache	72124	35663	36461	19.3	0.6	71.7	0.4	0.1	18334	18.2
4003	Arizona	Cochise	129647	66100	63547	56.7	3.6	0.8	1.7	0.1	43776	8.7
4005	Arizona	Coconino	136701	67553	69148	54.7	1.4	26.0	1.6	0.1	64844	8.8
4007	Arizona	Gila	53165	26436	26729	63.7	0.6	15.1	0.6	0.0	17961	12.8
4009	Arizona	Graham	37407	20049	17358	51.7	1.9	12.9	0.6	0.1	11954	14.1
4011	Arizona	Greenlee	9023	4748	4275	47.2	1.4	2.8	0.4	0.0	3346	10.0
4012	Arizona	La Paz	20335	10378	9957	59.9	0.2	12.2	0.8	0.3	6386	11.2
4013	Arizona	Maricopa	4018143	1986158	2031985	57.3	4.9	1.6	3.7	0.2	1821038	7.7
4015	Arizona	Mohave	203362	102371	100991	78.2	1.0	1.7	1.1	0.1	66880	13.2
4017	Arizona	Navajo	107656	53984	53672	42.6	0.5	43.1	0.6	0.1	31955	19.8
4019	Arizona	Pima	998537	491108	507429	53.7	3.3	2.4	2.6	0.1	422371	10.0
4021	Arizona	Pinal	389772	202502	187270	58.0	4.4	4.7	1.6	0.4	134182	10.6
4023	Arizona	Santa Cruz	47073	22566	24507	15.6	0.2	0.1	1.0	0.1	17246	11.3
4025	Arizona	Yavapai	215996	105693	110303	81.1	0.6	1.6	0.8	0.0	81511	10.0
4027	Arizona	Yuma	202987	103779	99208	33.5	1.9	1.0	1.2	0.1	71622	13.1
5001	Arkansas	Arkansas	18731	8936	9795	70.3	25.3	0.1	0.4	0.0	8088	8.3
5003	Arkansas	Ashley	21229	10185	11044	67.9	26.0	0.3	0.1	0.0	7840	11.8
5005	Arkansas	Baxter	41040	19811	21229	95.3	0.3	0.6	0.5	0.0	15229	7.6
5007	Arkansas	Benton	238198	117781	120417	75.0	1.5	1.4	3.4	0.4	109788	4.2
5009	Arkansas	Boone	37227	18138	19089	94.5	0.4	0.7	0.5	0.0	15368	8.4
5011	Arkansas	Bradley	11206	5534	5672	57.0	28.6	0.0	0.0	0.0	4180	9.4
5013	Arkansas	Calhoun	5245	2692	2553	73.0	22.2	0.1	0.2	0.0	2243	7.2
5015	Arkansas	Carroll	27635	13535	14100	81.6	0.4	0.3	0.4	1.2	11454	6.2
5017	Arkansas	Chicot	11353	5577	5776	39.5	53.9	0.4	0.3	0.0	3769	11.5
5019	Arkansas	Clark	22751	10786	11965	69.6	23.9	0.1	0.8	0.0	9780	8.4
5021	Arkansas	Clay	15400	7588	7812	96.0	0.4	0.3	0.1	0.0	6283	9.5
5023	Arkansas	Cleburne	25711	12842	12869	95.1	0.5	0.5	0.3	0.0	9699	10.2
5025	Arkansas	Cleveland	8510	4234	4276	85.0	11.0	0.2	0.1	0.0	3256	9.7
5027	Arkansas	Columbia	24327	11569	12758	59.2	35.5	0.3	0.7	0.0	10491	10.1
5029	Arkansas	Conway	21110	10346	10764	81.8	12.0	0.7	0.1	0.0	8306	8.1
5031	Arkansas	Craighead	101409	49362	52047	78.3	13.7	0.3	1.2	0.1	45526	7.5
5033	Arkansas	Crawford	61748	30269	31479	85.9	1.1	1.4	1.6	0.0	25099	7.9
5035	Arkansas	Crittenden	49765	23482	26283	44.4	50.7	0.2	0.6	0.2	20336	9.9
5037	Arkansas	Cross	17467	8384	9083	73.6	22.8	0.3	0.6	0.0	7140	8.6
5039	Arkansas	Dallas	7868	3877	3991	53.7	40.9	0.0	2.2	0.0	3031	8.3
5041	Arkansas	Desha	12379	5741	6638	46.4	47.8	0.0	0.1	0.0	4355	17.7
5043	Arkansas	Drew	18740	9215	9525	66.9	28.8	0.1	0.3	0.0	7361	14.3
5045	Arkansas	Faulkner	119343	58488	60855	81.4	11.3	0.3	1.3	0.0	57108	6.6
5047	Arkansas	Franklin	17866	8797	9069	92.8	0.7	1.6	0.3	0.0	6592	11.0
5049	Arkansas	Fulton	12224	6055	6169	95.9	0.1	0.4	1.5	0.0	4498	7.6
5051	Arkansas	Garland	96954	46921	50033	83.0	8.3	0.5	0.6	0.0	39729	9.2
5053	Arkansas	Grant	18054	8875	9179	93.1	3.8	0.3	0.5	0.0	7608	9.4
5055	Arkansas	Greene	43382	21477	21905	94.5	0.9	0.2	0.1	0.0	17659	9.0
5057	Arkansas	Hempstead	22336	10787	11549	55.7	29.7	0.2	0.0	0.0	8699	7.9
5059	Arkansas	Hot Spring	33316	17089	16227	83.0	11.7	0.6	0.2	0.0	13293	7.6
5061	Arkansas	Howard	13555	6596	6959	66.1	21.8	0.9	0.0	0.0	5596	8.5
5063	Arkansas	Independence	36952	18064	18888	89.3	2.0	0.3	0.9	0.0	15303	6.9
5065	Arkansas	Izard	13480	6997	6483	95.8	1.2	0.2	0.2	0.3	4607	10.0
5067	Arkansas	Jackson	17597	8737	8860	77.6	17.2	0.5	0.2	0.0	5585	7.9
5069	Arkansas	Jefferson	73548	36165	37383	40.5	55.5	0.1	0.8	0.1	28119	11.2
5071	Arkansas	Johnson	25930	12834	13096	81.5	1.5	0.4	1.0	0.2	10376	6.2
5073	Arkansas	Lafayette	7270	3534	3736	59.7	38.2	0.0	0.2	0.0	2527	12.5
5075	Arkansas	Lawrence	17029	8303	8726	96.1	0.9	0.3	0.1	0.0	6527	6.9
5077	Arkansas	Lee	9966	5561	4405	41.0	56.4	0.1	0.0	0.0	2910	17.3
5079	Arkansas	Lincoln	14062	8596	5466	65.0	30.7	0.3	0.0	0.0	3666	14.2
5081	Arkansas	Little River	12720	6384	6336	73.4	20.7	1.2	0.0	0.0	4805	8.8
5083	Arkansas	Logan	22001	11022	10979	91.6	1.8	0.9	2.0	0.0	8718	8.1
5085	Arkansas	Lonoke	70691	34831	35860	87.0	6.1	0.5	0.6	0.1	31944	5.9
5087	Arkansas	Madison	15702	7865	7837	90.9	0.0	0.5	0.6	0.0	6751	7.3
5089	Arkansas	Marion	16458	8172	8286	94.8	0.3	0.7	0.7	0.0	5679	10.9
5091	Arkansas	Miller	43652	21540	22112	69.8	24.7	0.4	0.1	0.0	18429	9.6
5093	Arkansas	Mississippi	44864	21815	23049	59.6	34.5	0.1	0.3	0.0	17164	12.0
5095	Arkansas	Monroe	7713	3642	4071	55.1	40.7	0.2	0.5	0.0	2815	12.8
5097	Arkansas	Montgomery	9197	4547	4650	91.9	0.6	0.7	0.6	0.0	3636	4.3
5099	Arkansas	Nevada	8793	4367	4426	64.1	30.6	0.3	1.3	0.0	3265	9.5
5101	Arkansas	Newton	8052	4035	4017	94.4	0.0	1.4	0.5	0.0	3228	4.4
5103	Arkansas	Ouachita	25044	11790	13254	55.7	40.1	0.2	0.2	0.0	10415	8.3
5105	Arkansas	Perry	10300	5133	5167	92.7	2.1	0.3	0.1	0.0	4184	6.8
5107	Arkansas	Phillips	20391	9529	10862	35.2	61.5	0.1	0.1	0.0	6932	18.1
5109	Arkansas	Pike	11087	5420	5667	87.7	3.1	0.2	0.5	0.0	4476	6.6
5111	Arkansas	Poinsett	24210	11819	12391	87.9	8.2	0.2	0.0	0.0	9053	10.0
5113	Arkansas	Polk	20364	9929	10435	88.7	0.2	1.1	0.4	0.0	7473	9.0
5115	Arkansas	Pope	62830	31083	31747	85.5	2.9	0.6	0.7	0.0	27407	7.6
5117	Arkansas	Prairie	8402	4137	4265	85.4	12.3	0.4	0.1	0.0	3513	6.2
5119	Arkansas	Pulaski	390463	187292	203171	54.2	35.4	0.3	2.1	0.0	180430	7.5
5121	Arkansas	Randolph	17695	8678	9017	95.5	0.7	0.2	0.0	0.0	6714	5.4
5123	Arkansas	St. Francis	27345	14996	12349	41.2	51.7	0.3	0.3	0.0	9259	11.7
5125	Arkansas	Saline	113833	55920	57913	87.1	5.8	0.3	0.9	0.0	53363	5.3
5127	Arkansas	Scott	10870	5557	5313	84.4	0.2	1.6	2.9	0.0	4250	10.9
5129	Arkansas	Searcy	7965	3984	3981	94.1	0.3	1.1	1.1	0.0	2836	5.9
5131	Arkansas	Sebastian	127273	62355	64918	71.4	6.2	1.2	4.3	0.1	54852	6.1
5133	Arkansas	Sevier	17268	8563	8705	59.3	4.7	1.9	0.5	0.0	7173	9.3
5135	Arkansas	Sharp	17055	8302	8753	94.0	0.4	0.8	0.6	0.1	5764	8.8
5137	Arkansas	Stone	12512	6340	6172	95.3	0.0	0.2	0.2	0.0	4332	7.0
5139	Arkansas	Union	40633	19640	20993	61.5	32.8	0.5	0.5	0.0	16418	9.7
5141	Arkansas	Van Buren	17002	8402	8600	93.6	0.5	0.4	0.2	0.0	5478	11.2
5143	Arkansas	Washington	216432	108144	108288	72.5	3.2	0.9	2.5	2.2	102944	6.2
5145	Arkansas	White	78660	38736	39924	88.6	4.5	0.2	0.6	0.0	32318	7.1
5147	Arkansas	Woodruff	6983	3380	3603	69.5	26.8	0.1	1.1	0.1	2472	12.4
5149	Arkansas	Yell	21835	10804	11031	76.0	2.0	0.5	1.5	0.0	8567	8.3
6001	California	Alameda	1584983	776699	808284	33.0	11.3	0.3	27.5	0.8	778132	8.3
6003	California	Alpine	1131	654	477	64.1	1.0	19.4	1.2	1.4	408	10.7
6005	California	Amador	36995	20012	16983	79.7	2.2	1.8	1.4	0.1	12573	14.0
6007	California	Butte	222564	110115	112449	73.8	1.4	0.7	4.3	0.2	89411	12.1
6009	California	Calaveras	44767	22143	22624	82.5	0.6	0.9	0.9	0.3	16248	12.1
6011	California	Colusa	21396	11129	10267	37.5	0.6	1.0	2.0	0.2	8837	10.4
6013	California	Contra Costa	1096068	534618	561450	46.0	8.6	0.3	15.1	0.5	509920	8.8
6015	California	Del Norte	27788	15418	12370	63.3	2.8	4.8	2.1	0.3	8612	11.5
6017	California	El Dorado	182093	90970	91123	79.0	0.9	0.6	3.9	0.1	79568	11.1
6019	California	Fresno	956749	477316	479433	31.2	4.7	0.5	9.6	0.1	374564	13.2
6021	California	Glenn	28029	14168	13861	53.7	0.9	1.7	2.5	0.3	10523	12.6
6023	California	Humboldt	135034	67533	67501	75.7	1.1	4.6	2.6	0.3	58449	10.5
6025	California	Imperial	178206	91167	87039	12.6	2.5	0.7	1.4	0.1	58391	17.4
6027	California	Inyo	18373	9214	9159	64.8	1.0	10.2	1.3	0.6	8370	6.8
6029	California	Kern	865736	444547	421189	36.6	5.3	0.6	4.4	0.1	327294	12.7
6031	California	Kings	150998	83958	67040	34.1	5.9	0.7	3.5	0.2	50960	13.0
6033	California	Lake	64158	32146	32012	72.6	2.1	3.0	1.3	0.3	23011	14.6
6035	California	Lassen	32645	21818	10827	65.9	8.4	2.8	1.4	0.7	9082	10.9
6037	California	Los Angeles	10038388	4945351	5093037	26.9	8.0	0.2	14.0	0.2	4635465	10.0
6039	California	Madera	153187	73863	79324	36.3	3.2	1.1	2.0	0.1	53032	7.5
