CensusId	TotalPop	State	County	Men	Women	White	Black	Native	Asian	Pacific	Employed	Unemployment	id
19043	17806	Iowa	Clayton	8896	8910	96.4	0.9	0.1	0.3	0.0	8996	4.2	19043
19045	48365	Iowa	Clinton	23788	24577	91.7	2.7	0.4	0.7	0.0	23564	4.8	19045
19047	17252	Iowa	Crawford	8688	8564	69.1	1.0	0.9	0.3	0.2	8192	4.8	19047
19049	74892	Iowa	Dallas	36706	38186	87.1	1.1	0.1	3.4	0.1	40388	2.6	19049
19051	8742	Iowa	Davis	4295	4447	97.3	0.2	0.0	0.3	0.0	3821	4.2	19051
19053	8249	Iowa	Decatur	4115	4134	93.1	1.7	0.5	0.7	0.2	3660	7.5	19053
19055	17507	Iowa	Delaware	8731	8776	97.4	0.2	0.0	0.3	0.0	9442	3.6	19055
19057	40208	Iowa	Des Moines	19611	20597	88.4	5.4	0.1	0.6	0.0	18798	6.3	19057
19059	16967	Iowa	Dickinson	8490	8477	96.7	0.3	0.1	0.2	0.2	8899	3.8	19059
19061	95906	Iowa	Dubuque	47401	48505	92.1	1.9	0.1	1.3	0.3	50102	4.3	19061
19063	9917	Iowa	Emmet	4887	5030	88.5	1.4	0.4	0.2	0.0	4955	4.6	19063
19065	20589	Iowa	Fayette	10338	10251	94.6	1.1	0.2	0.8	0.0	10050	5.1	19065
19067	16050	Iowa	Floyd	7958	8092	93.6	2.0	0.0	0.5	0.0	7998	3.5	19067
19069	10489	Iowa	Franklin	5243	5246	86.5	1.0	0.0	0.2	0.0	5012	4.2	19069
19071	7106	Iowa	Fremont	3523	3583	95.4	0.1	0.5	0.0	0.0	3463	3.7	19071
19073	9174	Iowa	Greene	4481	4693	95.4	0.1	0.0	0.4	0.0	4452	5.6	19073
19075	12407	Iowa	Grundy	6095	6312	97.3	0.4	0.1	0.4	0.0	6164	3.9	19075
19077	10740	Iowa	Guthrie	5318	5422	96.1	0.8	0.1	0.1	0.2	5312	5.4	19077
19079	15297	Iowa	Hamilton	7467	7830	90.7	0.7	0.0	2.2	0.0	7476	3.8	19079
19081	11092	Iowa	Hancock	5575	5517	94.2	0.6	0.1	0.3	0.0	5640	1.5	19081
19083	17393	Iowa	Hardin	8629	8764	93.0	0.9	0.2	1.0	0.0	8293	4.9	19083
19085	14467	Iowa	Harrison	7170	7297	96.8	0.1	0.4	0.3	0.0	7352	3.6	19085
19087	20080	Iowa	Henry	10254	9826	88.9	2.3	0.3	2.2	0.0	8992	5.1	19087
19089	9494	Iowa	Howard	4702	4792	96.8	0.3	0.0	0.2	0.0	4666	3.4	19089
19091	9674	Iowa	Humboldt	4721	4953	94.5	0.1	0.1	0.2	0.0	4652	4.8	19091
19093	7071	Iowa	Ida	3561	3510	96.2	0.5	0.4	0.3	0.0	3579	3.7	19093
19095	16344	Iowa	Iowa	8097	8247	96.0	0.8	0.0	0.2	0.1	8818	1.8	19095
19097	19572	Iowa	Jackson	9733	9839	96.0	0.2	0.1	0.4	0.6	9687	4.4	19097
19099	36726	Iowa	Jasper	18711	18015	94.9	1.5	0.2	0.6	0.0	17247	5.4	19099
19101	17318	Iowa	Jefferson	8981	8337	82.3	1.4	0.1	7.9	0.0	7751	6.4	19101
19103	139436	Iowa	Johnson	69350	70086	81.1	5.4	0.2	6.0	0.1	78838	3.5	19103
19105	20560	Iowa	Jones	10674	9886	94.8	1.8	0.8	0.4	0.0	9815	5.0	19105
19107	10291	Iowa	Keokuk	5179	5112	97.0	0.0	0.3	0.2	0.0	4921	5.1	19107
19109	15280	Iowa	Kossuth	7629	7651	96.1	0.4	0.1	0.4	0.0	7788	2.1	19109
19111	35369	Iowa	Lee	17767	17602	91.0	3.0	0.0	0.5	0.0	16414	8.7	19111
19113	216640	Iowa	Linn	106827	109813	88.2	4.1	0.2	2.0	0.0	114142	4.8	19113
19115	11271	Iowa	Louisa	5751	5520	79.8	0.8	0.2	2.5	0.1	5614	4.8	19115
19117	8731	Iowa	Lucas	4376	4355	97.4	0.2	0.3	0.3	0.0	4122	5.8	19117
19119	11723	Iowa	Lyon	5951	5772	96.3	0.1	0.2	0.3	0.0	5968	2.4	19119
19121	15644	Iowa	Madison	7796	7848	96.5	0.5	0.0	0.9	0.0	7712	5.7	19121
19123	22396	Iowa	Mahaska	11202	11194	94.4	1.3	0.1	1.1	0.0	10859	8.0	19123
19125	33248	Iowa	Marion	16527	16721	95.1	0.5	0.2	1.0	0.0	17020	4.0	19125
19127	40962	Iowa	Marshall	20730	20232	74.6	1.6	0.3	2.9	0.0	19409	6.3	19127
19129	14862	Iowa	Mills	7507	7355	94.9	0.7	0.4	0.1	0.0	7089	3.8	19129
19131	10762	Iowa	Mitchell	5339	5423	97.7	0.1	0.0	0.1	0.0	5319	3.2	19131
19133	9088	Iowa	Monona	4518	4570	95.5	0.5	1.3	0.1	0.0	4165	5.5	19133
19135	8002	Iowa	Monroe	4140	3862	94.6	0.1	0.0	0.6	0.0	3580	6.2	19135
19137	10465	Iowa	Montgomery	5035	5430	94.6	0.0	0.2	0.0	0.0	4660	9.6	19137
19139	42913	Iowa	Muscatine	21412	21501	78.9	1.5	0.2	1.2	0.1	21210	4.6	19139
19141	14092	Iowa	O'Brien	7048	7044	93.6	0.5	0.1	0.8	0.0	7237	2.8	19141
19143	6211	Iowa	Osceola	3118	3093	91.7	0.4	0.4	0.3	0.0	3282	3.3	19143
19145	15660	Iowa	Page	8072	7588	91.9	2.1	0.4	1.2	0.0	7075	5.1	19145
19147	9208	Iowa	Palo Alto	4618	4590	95.5	1.3	0.1	0.4	0.0	4637	2.9	19147
19149	24853	Iowa	Plymouth	12269	12584	94.1	0.5	0.1	0.3	0.3	12978	3.4	19149
19151	7127	Iowa	Pocahontas	3548	3579	94.4	1.2	0.1	0.1	0.0	3483	4.9	19151
19153	452369	Iowa	Polk	222477	229892	79.5	6.1	0.2	3.9	0.1	238720	5.8	19153
19155	93213	Iowa	Pottawattamie	45947	47266	89.0	1.3	0.3	0.6	0.0	46439	5.0	19155
19157	18705	Iowa	Poweshiek	8987	9718	92.5	1.1	0.0	2.1	0.1	9636	4.8	19157
19159	5061	Iowa	Ringgold	2474	2587	96.5	0.2	0.6	0.5	0.0	2133	4.8	19159
19161	10101	Iowa	Sac	4967	5134	95.8	0.6	0.0	0.0	0.0	5151	4.0	19161
19163	169994	Iowa	Scott	83437	86557	81.6	7.6	0.2	2.3	0.0	83140	5.4	19163
19165	11992	Iowa	Shelby	5886	6106	95.7	0.2	0.1	0.5	0.0	6153	2.9	19165
19167	34509	Iowa	Sioux	17404	17105	88.3	0.4	0.2	0.7	0.0	18867	1.8	19167
19169	93586	Iowa	Story	48551	45035	85.6	2.3	0.2	6.5	0.0	50519	5.5	19169
19171	17479	Iowa	Tama	8637	8842	83.2	0.5	6.5	0.3	0.0	8283	5.6	19171
19173	6213	Iowa	Taylor	3136	3077	91.1	0.2	0.1	0.6	0.0	3061	4.4	19173
19175	12575	Iowa	Union	6015	6560	95.0	1.0	0.4	0.3	0.0	6385	5.4	19175
19177	7432	Iowa	Van Buren	3799	3633	97.1	0.3	0.1	0.2	0.0	3305	6.6	19177
19179	35315	Iowa	Wapello	17413	17902	85.6	2.0	0.1	0.9	0.0	16128	8.0	19179
19181	47542	Iowa	Warren	23326	24216	95.1	0.5	0.2	0.4	0.1	25008	4.8	19181
19183	22017	Iowa	Washington	10847	11170	92.0	0.7	0.0	0.5	0.1	11358	4.2	19183
19185	6384	Iowa	Wayne	3092	3292	96.7	0.5	0.3	0.1	0.0	2800	4.3	19185
19187	37295	Iowa	Webster	19193	18102	88.9	4.0	0.3	1.1	0.0	16774	8.4	19187
19189	10614	Iowa	Winnebago	5222	5392	93.1	0.9	0.7	1.1	0.0	5214	6.2	19189
19191	20884	Iowa	Winneshiek	10386	10498	95.3	0.9	0.2	1.2	0.0	12230	3.0	19191
19193	102530	Iowa	Woodbury	50448	52082	75.9	2.8	1.6	2.6	0.0	51599	5.2	19193
19195	7563	Iowa	Worth	3728	3835	95.5	1.0	0.0	0.2	0.0	3800	4.7	19195
19197	12936	Iowa	Wright	6446	6490	88.0	0.4	0.0	0.5	0.1	5996	5.7	19197
20001	13081	Kansas	Allen	6441	6640	91.2	1.7	0.2	0.5	0.1	5863	7.0	20001
20003	7896	Kansas	Anderson	3921	3975	95.0	0.1	2.3	0.0	0.0	3593	5.9	20003
20005	16633	Kansas	Atchison	7977	8656	88.2	4.1	0.4	0.3	0.1	7519	7.3	20005
20007	4770	Kansas	Barber	2396	2374	93.0	0.3	0.3	0.5	0.0	2350	3.1	20007
20009	27399	Kansas	Barton	13307	14092	82.6	1.3	0.1	0.2	0.0	13200	6.8	20009
20011	14812	Kansas	Bourbon	7324	7488	91.0	3.5	0.8	0.9	0.0	6541	3.3	20011
20013	9880	Kansas	Brown	4808	5072	83.9	1.6	7.4	0.6	0.1	4606	4.5	20013
20015	66092	Kansas	Butler	33192	32900	90.0	2.0	0.8	0.9	0.0	31277	5.6	20015
20017	2722	Kansas	Chase	1348	1374	92.5	0.9	1.5	0.0	0.0	1187	2.9	20017
20019	3520	Kansas	Chautauqua	1804	1716	87.5	0.6	5.3	0.0	0.0	1510	5.1	20019
20021	20952	Kansas	Cherokee	10337	10615	88.8	0.5	3.5	0.4	0.0	9378	5.8	20021
20023	2682	Kansas	Cheyenne	1352	1330	90.9	0.0	0.0	1.2	0.0	1321	1.9	20023
20025	2145	Kansas	Clark	1055	1090	81.3	1.0	1.7	0.7	0.4	1040	1.4	20025
20027	8421	Kansas	Clay	4145	4276	94.8	0.6	0.2	0.5	0.0	4169	1.9	20027
20029	9339	Kansas	Cloud	4650	4689	93.6	0.4	0.2	0.8	0.0	4514	6.8	20029
20031	8458	Kansas	Coffey	4246	4212	94.0	0.8	1.0	0.6	0.1	4207	5.1	20031
20033	2010	Kansas	Comanche	1020	990	94.7	0.0	0.0	0.5	0.0	995	5.4	20033
20035	36079	Kansas	Cowley	18184	17895	80.9	2.8	1.8	1.6	0.0	15686	7.0	20035
20037	39304	Kansas	Crawford	19733	19571	87.9	2.1	0.5	1.5	0.0	18643	5.6	20037
20039	2905	Kansas	Decatur	1455	1450	95.5	0.4	0.7	0.0	0.0	1389	3.8	20039
20041	19516	Kansas	Dickinson	9716	9800	91.7	0.5	1.0	0.3	0.0	8898	6.7	20041
20043	7859	Kansas	Doniphan	3992	3867	90.3	3.7	0.9	0.2	0.0	3790	5.8	20043
20045	114967	Kansas	Douglas	57490	57477	80.1	3.8	2.2	4.4	0.0	61881	6.0	20045
20047	2991	Kansas	Edwards	1528	1463	78.0	0.9	0.0	0.3	0.0	1451	2.0	20047
20049	2683	Kansas	Elk	1339	1344	91.5	0.8	1.7	0.4	0.0	1121	5.3	20049
20051	28993	Kansas	Ellis	14452	14541	90.5	1.1	0.2	1.3	0.2	16045	4.5	20051
20053	6410	Kansas	Ellsworth	3630	2780	86.8	3.8	0.3	0.3	0.0	2787	4.3	20053
20055	37133	Kansas	Finney	18884	18249	44.3	2.1	0.4	4.0	0.0	18612	4.6	20055
20057	34714	Kansas	Ford	17906	16808	41.8	2.3	0.4	1.3	0.0	16237	6.4	20057
20059	25753	Kansas	Franklin	12675	13078	91.2	1.2	0.4	0.2	0.0	12701	6.9	20059
20061	36787	Kansas	Geary	19166	17621	58.9	16.2	0.7	3.1	0.7	12884	9.2	20061
20063	2735	Kansas	Gove	1385	1350	95.1	1.0	0.1	0.5	0.0	1367	1.9	20063
20065	2593	Kansas	Graham	1258	1335	89.2	3.1	0.3	1.2	0.0	1282	2.4	20065
20067	7816	Kansas	Grant	3957	3859	53.1	0.0	0.4	0.0	0.0	3618	7.3	20067
20069	6065	Kansas	Gray	2985	3080	84.7	0.0	0.0	0.1	0.0	3183	2.9	20069
20071	1224	Kansas	Greeley	611	613	73.6	0.9	0.6	0.3	0.0	592	2.1	20071
20073	6393	Kansas	Greenwood	3120	3273	92.5	0.2	0.3	0.0	0.0	2876	3.5	20073
